strategie;session;nbtirage;gain;pot;max
S2CStatic;1;150;0;179;202
S2CNotLast;1;150;0;176;206
S2C6NStatic;1;150;0;95;204
S2C6NStaticMart;1;29;0;1;212
SMourad1;1;150;0;776;887
S2CStatic;2;150;0;200;216
S2CNotLast;2;150;0;161;204
S2C6NStatic;2;150;0;182;245
S2C6NStaticMart;2;31;0;358;358
SMourad1;2;35;0;2;206
S2CStatic;3;150;0;182;203
S2CNotLast;3;150;0;221;235
S2C6NStatic;3;150;0;128;213
S2C6NStaticMart;3;109;0;1;239
SMourad1;3;46;0;2;200
S2CStatic;4;150;0;173;205
S2CNotLast;4;150;0;215;219
S2C6NStatic;4;150;0;101;210
S2C6NStaticMart;4;79;0;1;214
SMourad1;4;29;0;2;209
S2CStatic;5;150;0;194;214
S2CNotLast;5;150;0;179;202
S2C6NStatic;5;150;0;98;204
S2C6NStaticMart;5;105;0;0;265
SMourad1;5;33;0;2;215
S2CStatic;6;150;0;194;212
S2CNotLast;6;150;0;218;225
S2C6NStatic;6;150;0;134;220
S2C6NStaticMart;6;150;0;1;253
SMourad1;6;58;0;2;359
S2CStatic;7;150;0;176;200
S2CNotLast;7;150;0;167;201
S2C6NStatic;7;150;0;134;200
S2C6NStaticMart;7;104;0;1;259
SMourad1;7;33;0;2;200
S2CStatic;8;150;0;215;215
S2CNotLast;8;150;0;197;203
S2C6NStatic;8;150;0;203;242
S2C6NStaticMart;8;113;0;355;355
SMourad1;8;34;0;2;206
S2CStatic;9;150;0;176;211
S2CNotLast;9;150;0;179;215
S2C6NStatic;9;150;0;134;218
S2C6NStaticMart;9;94;0;0;288
SMourad1;9;77;0;2;515
S2CStatic;10;150;0;179;200
S2CNotLast;10;150;0;176;200
S2C6NStatic;10;150;0;167;200
S2C6NStaticMart;10;49;0;0;200
SMourad1;10;31;0;2;209
S2CStatic;11;150;0;206;220
S2CNotLast;11;150;0;179;201
S2C6NStatic;11;150;0;230;271
S2C6NStaticMart;11;13;0;360;360
SMourad1;11;34;0;2;200
S2CStatic;12;150;0;146;205
S2CNotLast;12;150;0;170;208
S2C6NStatic;12;150;0;92;202
S2C6NStaticMart;12;75;0;0;206
SMourad1;12;150;0;884;1073
S2CStatic;13;150;0;197;216
S2CNotLast;13;150;0;170;201
S2C6NStatic;13;150;0;275;309
S2C6NStaticMart;13;53;0;357;357
SMourad1;13;61;0;2;383
S2CStatic;14;150;0;191;213
S2CNotLast;14;150;0;185;201
S2C6NStatic;14;150;0;155;234
S2C6NStaticMart;14;20;0;352;352
SMourad1;14;103;0;2;590
S2CStatic;15;150;0;200;204
S2CNotLast;15;150;0;194;208
S2C6NStatic;15;150;0;146;202
S2C6NStaticMart;15;147;0;0;204
SMourad1;15;150;0;461;869
S2CStatic;16;150;0;173;209
S2CNotLast;16;150;0;185;211
S2C6NStatic;16;150;0;47;234
S2C6NStaticMart;16;21;0;350;350
SMourad1;16;34;0;2;230
S2CStatic;17;150;0;161;200
S2CNotLast;17;150;0;167;202
S2C6NStatic;17;150;0;59;207
S2C6NStaticMart;17;38;0;0;210
SMourad1;17;37;0;2;200
S2CStatic;18;150;0;191;205
S2CNotLast;18;150;0;185;211
S2C6NStatic;18;150;0;173;200
S2C6NStaticMart;18;58;0;1;200
SMourad1;18;150;0;668;839
S2CStatic;19;150;0;206;206
S2CNotLast;19;150;0;206;209
S2C6NStatic;19;150;0;176;212
S2C6NStaticMart;19;150;0;21;211
SMourad1;19;30;0;2;233
S2CStatic;20;150;0;248;254
S2CNotLast;20;150;0;176;201
S2C6NStatic;20;150;0;296;315
S2C6NStaticMart;20;14;0;352;352
SMourad1;20;90;0;2;482
S2CStatic;21;150;0;197;206
S2CNotLast;21;150;0;179;211
S2C6NStatic;21;150;0;185;245
S2C6NStaticMart;21;150;0;54;342
SMourad1;21;34;0;2;212
S2CStatic;22;150;0;191;205
S2CNotLast;22;150;0;194;210
S2C6NStatic;22;150;0;137;276
S2C6NStaticMart;22;25;0;354;354
SMourad1;22;150;0;1343;1724
S2CStatic;23;150;0;197;213
S2CNotLast;23;150;0;158;207
S2C6NStatic;23;150;0;293;296
S2C6NStaticMart;23;150;0;251;320
SMourad1;23;56;0;2;200
S2CStatic;24;150;0;191;207
S2CNotLast;24;150;0;221;223
S2C6NStatic;24;150;0;281;281
S2C6NStaticMart;24;150;0;249;331
SMourad1;24;110;0;2;449
S2CStatic;25;150;0;200;206
S2CNotLast;25;150;0;197;211
S2C6NStatic;25;150;0;146;215
S2C6NStaticMart;25;150;0;4;261
SMourad1;25;150;0;1073;1385
S2CStatic;26;150;0;203;208
S2CNotLast;26;150;0;185;208
S2C6NStatic;26;150;0;233;263
S2C6NStaticMart;26;34;0;359;359
SMourad1;26;33;0;2;206
S2CStatic;27;150;0;182;201
S2CNotLast;27;150;0;140;200
S2C6NStatic;27;150;0;92;210
S2C6NStaticMart;27;102;0;1;209
SMourad1;27;30;0;2;227
S2CStatic;28;150;0;191;212
S2CNotLast;28;150;0;173;205
S2C6NStatic;28;150;0;209;256
S2C6NStaticMart;28;19;0;350;350
SMourad1;28;150;0;494;659
S2CStatic;29;150;0;206;220
S2CNotLast;29;150;0;185;202
S2C6NStatic;29;150;0;230;285
S2C6NStaticMart;29;21;0;356;356
SMourad1;29;48;0;2;263
S2CStatic;30;150;0;167;202
S2CNotLast;30;150;0;152;203
S2C6NStatic;30;150;0;179;301
S2C6NStaticMart;30;60;0;360;360
SMourad1;30;150;0;50;497
S2CStatic;31;150;0;161;201
S2CNotLast;31;150;0;146;201
S2C6NStatic;31;150;0;131;253
S2C6NStaticMart;31;150;0;8;326
SMourad1;31;26;0;2;233
S2CStatic;32;150;0;173;202
S2CNotLast;32;150;0;215;219
S2C6NStatic;32;150;0;173;211
S2C6NStaticMart;32;95;0;1;245
SMourad1;32;150;0;242;818
S2CStatic;33;150;0;212;215
S2CNotLast;33;150;0;194;206
S2C6NStatic;33;150;0;170;212
S2C6NStaticMart;33;150;0;12;264
SMourad1;33;57;0;2;266
S2CStatic;34;150;0;185;209
S2CNotLast;34;150;0;182;204
S2C6NStatic;34;135;0;6;225
S2C6NStaticMart;34;94;0;0;284
SMourad1;34;24;0;2;233
S2CStatic;35;150;0;200;213
S2CNotLast;35;150;0;149;202
S2C6NStatic;35;150;0;218;276
S2C6NStaticMart;35;150;0;9;220
SMourad1;35;42;0;2;200
S2CStatic;36;150;0;185;200
S2CNotLast;36;150;0;155;200
S2C6NStatic;36;150;0;107;201
S2C6NStaticMart;36;79;0;0;275
SMourad1;36;24;0;2;233
S2CStatic;37;150;0;185;204
S2CNotLast;37;150;0;185;212
S2C6NStatic;37;150;0;125;202
S2C6NStaticMart;37;100;0;1;222
SMourad1;37;150;0;548;746
S2CStatic;38;150;0;182;205
S2CNotLast;38;150;0;218;220
S2C6NStatic;38;150;0;146;210
S2C6NStaticMart;38;150;0;6;249
SMourad1;38;31;0;2;230
S2CStatic;39;150;0;215;222
S2CNotLast;39;150;0;227;237
S2C6NStatic;39;150;0;257;274
S2C6NStaticMart;39;84;0;350;350
SMourad1;39;36;0;2;209
